Site;Imaging;biomass
exposed_1;img_biomass_Asplancha;0,00000000
exposed_1;img_biomass_Balanidae;4507,88880600
exposed_1;img_biomass_Bivalvia;0,00000000
exposed_1;img_biomass_Bosmina;10518,40721000
exposed_1;img_biomass_Cercopagis_pengoi;0,00000000
exposed_1;img_biomass_Ceriodaphnia;0,00000000
exposed_1;img_biomass_Daphnia;0,00000000
exposed_1;img_biomass_Daphnia_cucullata;0,00000000
exposed_1;img_biomass_Diplostraca;0,00000000
exposed_1;img_biomass_Eurytemora;800,00000000
exposed_1;img_biomass_Evadne;1000,00000000
exposed_1;img_biomass_Gastropoda;0,00000000
exposed_1;img_biomass_Harpacticoida;0,00000000
exposed_1;img_biomass_Helicostomella_subulata;616,07813670
exposed_1;img_biomass_Keratella;0,00000000
exposed_1;img_biomass_Keratella_cochlearis;6010,51840700
exposed_1;img_biomass_Keratella_cruciformis;0,00000000
exposed_1;img_biomass_Keratella_quadrata;6010,51840800
exposed_1;img_biomass_Polychaeta;0,00000000
exposed_1;img_biomass_Podon;11000,00000000
exposed_1;img_biomass_Rotifera;0,00000000
exposed_1;img_biomass_Sididae;0,00000000
exposed_1;img_biomass_Synchaeta;0,00000000
exposed_1;img_biomass_Tintinnopsis;0,00000000
exposed_1;img_biomass_all_cyclo;0,00000000
exposed_1;img_biomass_all_cop;0,00000000
exposed_1;img_biomass_ac_total;15026,29602000
exposed_1;img_biomass_all_cal;26636,81442800
exposed_2;img_biomass_Asplancha;0,00000000
exposed_2;img_biomass_Balanidae;5072,06726700
exposed_2;img_biomass_Bivalvia;2461,03363400
exposed_2;img_biomass_Bosmina;13934,82362000
exposed_2;img_biomass_Cercopagis_pengoi;0,00000000
exposed_2;img_biomass_Ceriodaphnia;0,00000000
exposed_2;img_biomass_Daphnia;0,00000000
exposed_2;img_biomass_Daphnia_cucullata;0,00000000
exposed_2;img_biomass_Diplostraca;0,00000000
exposed_2;img_biomass_Eurytemora;1600,00000000
exposed_2;img_biomass_Evadne;0,00000000
exposed_2;img_biomass_Gastropoda;22969,64725000
exposed_2;img_biomass_Harpacticoida;0,00000000
exposed_2;img_biomass_Helicostomella_subulata;771,12387200
exposed_2;img_biomass_Keratella;7383,10090200
exposed_2;img_biomass_Keratella_cochlearis;44298,60541000
exposed_2;img_biomass_Keratella_cruciformis;1640,68908900
exposed_2;img_biomass_Keratella_quadrata;29532,40360000
exposed_2;img_biomass_Polychaeta;1400,00000000
exposed_2;img_biomass_Podon;103441,34540000
exposed_2;img_biomass_Rotifera;0,00000000
exposed_2;img_biomass_Sididae;0,00000000
exposed_2;img_biomass_Synchaeta;0,00000000
exposed_2;img_biomass_Tintinnopsis;295,32403600
exposed_2;img_biomass_all_cyclo;8203,44544800
exposed_2;img_biomass_all_cop;22969,64726000
exposed_2;img_biomass_ac_total;39376,53814000
exposed_2;img_biomass_all_cal;89153,07628000
exposed_3;img_biomass_Asplancha;0,00000000
exposed_3;img_biomass_Balanidae;9426,55145400
exposed_3;img_biomass_Bivalvia;0,00000000
exposed_3;img_biomass_Bosmina;1750,00000000
exposed_3;img_biomass_Cercopagis_pengoi;0,00000000
exposed_3;img_biomass_Ceriodaphnia;0,00000000
exposed_3;img_biomass_Daphnia;0,00000000
exposed_3;img_biomass_Daphnia_cucullata;0,00000000
exposed_3;img_biomass_Diplostraca;0,00000000
exposed_3;img_biomass_Eurytemora;800,00000000
exposed_3;img_biomass_Evadne;2000,00000000
exposed_3;img_biomass_Gastropoda;1400,00000000
exposed_3;img_biomass_Harpacticoida;0,00000000
exposed_3;img_biomass_Helicostomella_subulata;989,78790260
exposed_3;img_biomass_Keratella;4713,27572700
exposed_3;img_biomass_Keratella_cochlearis;34564,02200000
exposed_3;img_biomass_Keratella_cruciformis;1571,09190900
exposed_3;img_biomass_Keratella_quadrata;9426,55145400
exposed_3;img_biomass_Polychaeta;0,00000000
exposed_3;img_biomass_Podon;14000,00000000
exposed_3;img_biomass_Rotifera;0,00000000
exposed_3;img_biomass_Sididae;0,00000000
exposed_3;img_biomass_Synchaeta;0,00000000
