Site;Microscopy;biomass
exposed_1;biomass_Keratella_cochlearis;13000,000000
exposed_1;biomass_Keratella_quadrata;79400,000000
exposed_1;biomass_Keratella_cruciformis;11550,000000
exposed_1;biomass_Synchaeta_spp;9750,000000
exposed_1;biomass_Asplancha_spp;0,000000
exposed_1;biomass_Harpacticoida;0,000000
exposed_1;biomass_Helicostomella_subulata;789,000000
exposed_1;biomass_Tintinnopsis_brandti;93,000000
exposed_1;biomass_Tintinnopsis_lobiancoi;18,000000
exposed_1;biomass_Tintinnopsis_fimbriata;412,000000
exposed_1;biomass_Gastropoda;16800,000000
exposed_1;biomass_Bivalvia;150,000000
exposed_1;biomass_Podon_spp;45500,000000
exposed_1;biomass_Evadne_spp;4500,000000
exposed_1;biomass_Ceriodaphnia_spp;0,000000
exposed_1;biomass_Daphnia_cucullata;0,000000
exposed_1;biomass_Daphnia_christata;0,000000
exposed_1;biomass_Daphnia_spp;0,000000
exposed_1;biomass_Chydorus_spp;0,000000
exposed_1;biomass_Cercopagis pengoi;0,000000
exposed_1;biomass_Sididae;0,000000
exposed_1;biomass_Balanidae_LV;4500,000000
exposed_1;biomass_Polychaeta;0,000000
exposed_1;biomass_all_cyclo;0,000000
exposed_1;biomass_all_cop_unident;0,000000
exposed_1;biomass_ac_sp_total;39075,000000
exposed_1;biomass_ac_tonsa_ad;3200,000000
exposed_1;biomass_ac_bifilosa_ad;0,000000
exposed_1;biomass_eury_total;3550,000000
exposed_1;biomass_tem_total;1200,000000
exposed_1;biomass_bos_coregoni_total;20125,000000
exposed_2;biomass_Keratella_cochlearis;13100,000000
exposed_2;biomass_Keratella_quadrata;47000,000000
exposed_2;biomass_Keratella_cruciformis;6050,000000
exposed_2;biomass_Synchaeta_spp;3600,000000
exposed_2;biomass_Asplancha_spp;0,000000
exposed_2;biomass_Harpacticoida;0,000000
exposed_2;biomass_Helicostomella_subulata;317,000000
exposed_2;biomass_Tintinnopsis_brandti;19,000000
exposed_2;biomass_Tintinnopsis_lobiancoi;8,000000
exposed_2;biomass_Tintinnopsis_fimbriata;17,000000
exposed_2;biomass_Gastropoda;14700,000000
exposed_2;biomass_Bivalvia;75,000000
exposed_2;biomass_Podon_spp;21450,000000
exposed_2;biomass_Evadne_spp;0,000000
exposed_2;biomass_Ceriodaphnia_spp;0,000000
exposed_2;biomass_Daphnia_cucullata;0,000000
exposed_2;biomass_Daphnia_christata;0,000000
exposed_2;biomass_Daphnia_spp;0,000000
exposed_2;biomass_Chydorus_spp;1500,000000
exposed_2;biomass_Cercopagis pengoi;0,000000
exposed_2;biomass_Sididae;0,000000
exposed_2;biomass_Balanidae_LV;2100,000000
exposed_2;biomass_Polychaeta;0,000000
exposed_2;biomass_all_cyclo;125,000000
exposed_2;biomass_all_cop_unident;0,000000
exposed_2;biomass_ac_sp_total;88975,000000
exposed_2;biomass_ac_tonsa_ad;0,000000
exposed_2;biomass_ac_bifilosa_ad;0,000000
exposed_2;biomass_eury_total;1900,000000
exposed_2;biomass_tem_total;150,000000
exposed_2;biomass_bos_coregoni_total;15375,000000
exposed_3;biomass_Keratella_cochlearis;31266,588500
exposed_3;biomass_Keratella_quadrata;41066,564000
exposed_3;biomass_Keratella_cruciformis;12533,302000
exposed_3;biomass_Synchaeta_spp;3599,991000
exposed_3;biomass_Asplancha_spp;0,000000
exposed_3;biomass_Harpacticoida;0,000000
exposed_3;biomass_Helicostomella_subulata;571,331905
exposed_3;biomass_Tintinnopsis_brandti;109,333060
exposed_3;biomass_Tintinnopsis_lobiancoi;30,666590
exposed_3;biomass_Tintinnopsis_fimbriata;0,000000
exposed_3;biomass_Gastropoda;17733,289000
exposed_3;biomass_Bivalvia;0,000000
exposed_3;biomass_Podon_spp;55466,528000
exposed_3;biomass_Evadne_spp;5999,985000
exposed_3;biomass_Ceriodaphnia_spp;999,997500
exposed_3;biomass_Daphnia_cucullata;0,000000
exposed_3;biomass_Daphnia_christata;0,000000
exposed_3;biomass_Daphnia_spp;0,000000
exposed_3;biomass_Chydorus_spp;1999,995000
exposed_3;biomass_Cercopagis pengoi;0,000000
exposed_3;biomass_Sididae;0,000000
exposed_3;biomass_Balanidae_LV;3999,990000
exposed_3;biomass_Polychaeta;0,000000
exposed_3;biomass_all_cyclo;2366,660750
exposed_3;biomass_all_cop_unident;1183,330375
exposed_3;biomass_ac_sp_total;174166,231250
exposed_3;biomass_ac_tonsa_ad;2133,328000
exposed_3;biomass_ac_bifilosa_ad;0,000000
exposed_3;biomass_eury_total;6933,316000
exposed_3;biomass_tem_total;799,998000
exposed_3;biomass_bos_coregoni_total;46799,883000
exposed_4;biomass_Keratella_cochlearis;17750,000000
exposed_4;biomass_Keratella_quadrata;38600,000000
exposed_4;biomass_Keratella_cruciformis;3600,000000
exposed_4;biomass_Synchaeta_spp;4500,000000
exposed_4;biomass_Asplancha_spp;0,000000
exposed_4;biomass_Harpacticoida;500,000000
exposed_4;biomass_Helicostomella_subulata;557,000000
exposed_4;biomass_Tintinnopsis_brandti;1376,000000
exposed_4;biomass_Tintinnopsis_lobiancoi;86,000000
exposed_4;biomass_Tintinnopsis_fimbriata;50,000000
exposed_4;biomass_Gastropoda;11900,000000
exposed_4;biomass_Bivalvia;1725,000000
exposed_4;biomass_Podon_spp;15600,000000
exposed_4;biomass_Evadne_spp;0,000000
exposed_4;biomass_Ceriodaphnia_spp;0,000000
exposed_4;biomass_Daphnia_cucullata;0,000000
