Microscopy;Imaging;Bulk;eDNA
Acartia_bifilosa;Cercopagis_pengoi;Acartia_tonsa;Acartia_tonsa
Acartia_tonsa;Daphnia_cucullata;Cerastoderma_glaucum;Cerastoderma_glaucum
Cercopagis_pengoi;Helicostomella_subulata;Cordylophora_caspia;Chaetogaster_diaphanus
Daphnia_christata;Keratella_cochlearis;Diaphanosoma_brachyurum;Cordylophora_caspia
Daphnia_cucullata;Keratella_cruciformis;Euchlanis_dilatata;Diaphanosoma_brachyurum
Helicostomella_subulata;Keratella_quadrata;Eucyclops_macruroides;Ephydatia_muelleri
Keratella_cochlearis;;Eucyclops_macrurus;Euchlanis_dilatata
Keratella_cruciformis;;Eurytemora_affinis;Eucyclops_macruroides
Keratella_quadrata;;Eurytemora_carolleeae;Eucyclops_macrurus
Tintinnopsis_brandti;;Eurytemora_velox;Eurytemora_affinis
Tintinnopsis_fimbriata;;Hediste_astae;Eurytemora_carolleeae
Tintinnopsis_lobiancoi;;Hydra_oligactis;Eurytemora_velox
;;Keratella_cochlearis;Hediste_astae
;;Lecane_bulla;Hydra_oligactis
;;Macrocyclops_distinctus;Keratella_cochlearis
;;Megacyclops_viridis;Lecane_closterocerca
;;Mesocyclops_leuckarti;Lecane_cornuta
;;Mytilopsis_leucophaeata;Lumbricillus_lineatus
;;Pleopis_polyphemoides;Macrocyclops_distinctus
;;Polyarthra_dolichoptera;Marenzelleria_viridis
;;Sida_crystallina;Megacyclops_viridis
;;Synchaeta_cf._tremula/oblonga;Mesocyclops_leuckarti
;;Tachidius_discipes;Mytilopsis_leucophaeata
;;Temora_longicornis;Pleopis_polyphemoides
;;Tenellia_adspersa;Polyarthra_dolichoptera
;;Thermocyclops_oithonoides;Sida_crystallina
;;Thersitina_gasterostei;Stylaria_lacustris
;;Trichocerca_capucina;Synchaeta_cf._tremula/oblonga
;;;Tachidius_discipes
;;;Tenellia_adspersa
;;;Thermocyclops_oithonoides
;;;Thersitina_gasterostei
;;;Trichocerca_capucina
