sample;method;species;genus;class;order;phylum;reads
eke_1;bulk;Acartia_sp;Acartia;Copepoda;Calanoida;Arthropoda;1
eke_1;bulk;Acartia_tonsa;Acartia;Copepoda;Calanoida;Arthropoda;586726
eke_1;eDNA;Acartia_tonsa;Acartia;Copepoda;Calanoida;Arthropoda;118744
eke_1;eDNA;Arthropoda_sp;Unknown;Unknown;Unknown;Arthropoda;29
eke_1;eDNA;Chaetogaster_diaphanus;Chaetogaster;Clitellata;Tubificida;Annelida;39
eke_1;bulk;Cordylophora_caspia;Cordylophora;Hydrozoa;Anthoathecata;Cnidaria;1
eke_1;eDNA;Cyclopidae;Unknown;Copepoda;Cyclopoida;Arthropoda;643
eke_1;bulk;Diaphanosoma_brachyurum;Diaphanosoma;Branchiopoda;Ctenopoda;Arthropoda;18
eke_1;eDNA;Diaphanosoma_brachyurum;Diaphanosoma;Branchiopoda;Ctenopoda;Arthropoda;402
eke_1;bulk;Diplostraca;Unknown;Branchiopoda;Unknown;Arthropoda;110439
eke_1;eDNA;Diplostraca;Unknown;Branchiopoda;Unknown;Arthropoda;177
eke_1;bulk;Eurytemora_affinis;Eurytemora;Copepoda;Calanoida;Arthropoda;581
eke_1;eDNA;Eurytemora_affinis;Eurytemora;Copepoda;Calanoida;Arthropoda;114
eke_1;bulk;Eurytemora_velox;Eurytemora;Copepoda;Calanoida;Arthropoda;681
eke_1;eDNA;Eurytemora_velox;Eurytemora;Copepoda;Calanoida;Arthropoda;484
eke_1;bulk;Hydra_oligactis;Hydra;Hydrozoa;Anthoathecata;Cnidaria;58
eke_1;eDNA;Hydra_oligactis;Hydra;Hydrozoa;Anthoathecata;Cnidaria;10328
eke_1;bulk;Keratella_cochlearis;Keratella;Monogononta;Ploima;Rotifera;29682
eke_1;eDNA;Keratella_cochlearis;Keratella;Monogononta;Ploima;Rotifera;53718
eke_1;eDNA;Macrocyclops_distinctus;Macrocyclops;Copepoda;Cyclopoida;Arthropoda;1
eke_1;bulk;Megacyclops_viridis;Megacyclops;Copepoda;Cyclopoida;Arthropoda;768
eke_1;eDNA;Megacyclops_viridis;Megacyclops;Copepoda;Cyclopoida;Arthropoda;374
eke_1;bulk;Mesocyclops_leuckarti;Mesocyclops;Copepoda;Cyclopoida;Arthropoda;59
eke_1;eDNA;Mesocyclops_leuckarti;Mesocyclops;Copepoda;Cyclopoida;Arthropoda;47
eke_1;bulk;Polyarthra_dolichoptera;Polyarthra_hn;Monogononta;Ploima;Rotifera;5921
eke_1;eDNA;Polyarthra_dolichoptera;Polyarthra_hn;Monogononta;Ploima;Rotifera;11347
eke_1;bulk;Polyarthra_sp;Polyarthra_hn;Monogononta;Ploima;Rotifera;10
eke_1;eDNA;Sida_crystallina;Sida;Branchiopoda;Ctenopoda;Arthropoda;135
eke_1;eDNA;Stylaria_lacustris;Stylaria;Clitellata;Tubificida;Annelida;9
eke_1;bulk;Synchaeta_spp;Synchaeta;Monogononta;Ploima;Rotifera;256
eke_1;eDNA;Synchaeta_spp;Synchaeta;Monogononta;Ploima;Rotifera;134
eke_1;bulk;Thermocyclops_oithonoides;Thermocyclops;Copepoda;Cyclopoida;Arthropoda;4318
eke_1;eDNA;Thermocyclops_oithonoides;Thermocyclops;Copepoda;Cyclopoida;Arthropoda;6821
eke_2;bulk;Acartia_tonsa;Acartia;Copepoda;Calanoida;Arthropoda;558477
eke_2;eDNA;Acartia_tonsa;Acartia;Copepoda;Calanoida;Arthropoda;599316
eke_2;eDNA;Arthropoda_sp;Unknown;Unknown;Unknown;Arthropoda;129
eke_2;bulk;Asplanchna_spp;Asplanchna;Monogononta;Ploima;Rotifera;114
eke_2;eDNA;Asplanchna_spp;Asplanchna;Monogononta;Ploima;Rotifera;20
eke_2;bulk;Cyclopidae;Unknown;Copepoda;Cyclopoida;Arthropoda;5
