Site;Imaging;abundance
exposed_1;Acartia_sp;7513,148009
exposed_2;Acartia_sp;19688,26907
exposed_3;Acartia_sp;47432,75727
exposed_4;Acartia_sp;76290,47619
exposed_5;Acartia_sp;2011,603546
exposed_6;Acartia_sp;11208,96717
semi_1;Acartia_sp;1590,832049
semi_2;Acartia_sp;7501,9245
semi_3;Acartia_sp;7601,875469
semi_4;Acartia_sp;5100
semi_5;Acartia_sp;24061,29944
shel_1;Acartia_sp;21466,80396
shel_2;Acartia_sp;101393,3775
shel_3;Acartia_sp;37865,97774
shel_4;Acartia_sp;10195,91837
shel_5;Acartia_sp;125887,3527
pojo_1;Acartia_sp;18410,04184
pojo_2;Acartia_sp;3344,481605
eke_1;Acartia_sp;3305,128206
eke_2;Acartia_sp;138683,8926
eke_3;Acartia_sp;1753,849238
extra_1;Acartia_sp;175124,9048
extra_2;Acartia_sp;66415,06024
extra_3;Acartia_sp;18384,60657
extra_4;Acartia_sp;110471,5232
exposed_1;Calanoida_sp;10868,40721
exposed_2;Calanoida_sp;40026,53814
exposed_3;Calanoida_sp;90681,1469
exposed_4;Calanoida_sp;140195,2381
exposed_5;Calanoida_sp;2961,603546
exposed_6;Calanoida_sp;14611,52922
semi_1;Calanoida_sp;11844,9923
semi_2;Calanoida_sp;11162,6943
semi_3;Calanoida_sp;13153,00075
semi_4;Calanoida_sp;25350
semi_5;Calanoida_sp;31761,01695
shel_1;Calanoida_sp;34001,4827
shel_2;Calanoida_sp;144028,4768
shel_3;Calanoida_sp;62183,70429
shel_4;Calanoida_sp;16993,87755
shel_5;Calanoida_sp;173670,11
pojo_1;Calanoida_sp;45888,28452
pojo_2;Calanoida_sp;20894,64883
eke_1;Calanoida_sp;12920,51282
eke_2;Calanoida_sp;181852,349
eke_3;Calanoida_sp;4307,698476
extra_1;Calanoida_sp;245754,0747
extra_2;Calanoida_sp;97685,54217
extra_3;Calanoida_sp;24368,25821
extra_4;Calanoida_sp;147028,4768
exposed_1;Copepoda_unident;0
exposed_2;Copepoda_unident;11484,82363
exposed_3;Copepoda_unident;3242,183818
exposed_4;Copepoda_unident;19097,61905
exposed_5;Copepoda_unident;3223,207091
exposed_6;Copepoda_unident;0
semi_1;Copepoda_unident;3081,664099
semi_2;Copepoda_unident;7401,9245
semi_3;Copepoda_unident;0
semi_4;Copepoda_unident;100
semi_5;Copepoda_unident;1412,429379
shel_1;Copepoda_unident;8237,23229
shel_2;Copepoda_unident;18261,92053
shel_3;Copepoda_unident;7999,125596
shel_4;Copepoda_unident;3265,306122
shel_5;Copepoda_unident;17282,011
pojo_1;Copepoda_unident;45588,28452
pojo_2;Copepoda_unident;15350,16722
eke_1;Copepoda_unident;9615,384615
eke_2;Copepoda_unident;10067,11409
eke_3;Copepoda_unident;100
extra_1;Copepoda_unident;7666,14623
extra_2;Copepoda_unident;7530,120482
extra_3;Copepoda_unident;3055,767762
extra_4;Copepoda_unident;11639,40397
exposed_1;Cyclopoida;0
exposed_2;Cyclopoida;3281,378179
exposed_3;Cyclopoida;0
exposed_4;Cyclopoida;3174,603175
exposed_5;Cyclopoida;50
exposed_6;Cyclopoida;0
semi_1;Cyclopoida;0
semi_2;Cyclopoida;1480,3849
semi_3;Cyclopoida;1500,375094
semi_4;Cyclopoida;0
semi_5;Cyclopoida;1412,429379
shel_1;Cyclopoida;1697,446458
shel_2;Cyclopoida;3361,258278
shel_3;Cyclopoida;1589,825119
shel_4;Cyclopoida;3265,306122
shel_5;Cyclopoida;4713,275727
pojo_1;Cyclopoida;284847,908
pojo_2;Cyclopoida;114834,4482
eke_1;Cyclopoida;52934,61538
eke_2;Cyclopoida;15200,67114
eke_3;Cyclopoida;850
extra_1;Cyclopoida;15382,29246
extra_2;Cyclopoida;7530,120482
extra_3;Cyclopoida;0
extra_4;Cyclopoida;3311,258278
exposed_1;Asplanchna_spp;0
exposed_2;Asplanchna_spp;0
exposed_3;Asplanchna_spp;0
exposed_4;Asplanchna_spp;0
exposed_5;Asplanchna_spp;0
exposed_6;Asplanchna_spp;0
semi_1;Asplanchna_spp;0
semi_2;Asplanchna_spp;0
semi_3;Asplanchna_spp;1500,375094
semi_4;Asplanchna_spp;0
semi_5;Asplanchna_spp;0
shel_1;Asplanchna_spp;0
shel_2;Asplanchna_spp;0
shel_3;Asplanchna_spp;0
shel_4;Asplanchna_spp;0
shel_5;Asplanchna_spp;0
pojo_1;Asplanchna_spp;0
pojo_2;Asplanchna_spp;0
eke_1;Asplanchna_spp;0
eke_2;Asplanchna_spp;0
eke_3;Asplanchna_spp;0
extra_1;Asplanchna_spp;0
extra_2;Asplanchna_spp;0
extra_3;Asplanchna_spp;1527,883881
extra_4;Asplanchna_spp;0
exposed_1;Balanidae;1502,629602
exposed_2;Balanidae;1690,689089
exposed_3;Balanidae;3142,183818
exposed_4;Balanidae;3174,603175
exposed_5;Balanidae;1711,603546
exposed_6;Balanidae;0
semi_1;Balanidae;350
semi_2;Balanidae;3010,7698
semi_3;Balanidae;3200,750188
semi_4;Balanidae;1381,21547
semi_5;Balanidae;50
shel_1;Balanidae;3294,892916
shel_2;Balanidae;1655,629139
shel_3;Balanidae;0
shel_4;Balanidae;1632,653061
shel_5;Balanidae;6334,367636
pojo_1;Balanidae;0
pojo_2;Balanidae;0
eke_1;Balanidae;0
eke_2;Balanidae;0
eke_3;Balanidae;0
extra_1;Balanidae;1523,229246
extra_2;Balanidae;0
extra_3;Balanidae;0
extra_4;Balanidae;0
exposed_1;Bivalvia;0
exposed_2;Bivalvia;1640,689089
exposed_3;Bivalvia;0
exposed_4;Bivalvia;0
exposed_5;Bivalvia;0
exposed_6;Bivalvia;0
semi_1;Bivalvia;0
semi_2;Bivalvia;0
semi_3;Bivalvia;0
semi_4;Bivalvia;0
semi_5;Bivalvia;0
shel_1;Bivalvia;0
shel_2;Bivalvia;1705,629139
shel_3;Bivalvia;1589,825119
shel_4;Bivalvia;0
shel_5;Bivalvia;1571,091909
pojo_1;Bivalvia;0
pojo_2;Bivalvia;0
eke_1;Bivalvia;1602,564103
eke_2;Bivalvia;0
eke_3;Bivalvia;0
extra_1;Bivalvia;0
extra_2;Bivalvia;0
extra_3;Bivalvia;0
extra_4;Bivalvia;1655,629139
exposed_1;Bosmina;1502,629602
exposed_2;Bosmina;1990,689089
exposed_3;Bosmina;250
exposed_4;Bosmina;1937,301587
exposed_5;Bosmina;2150
exposed_6;Bosmina;150
semi_1;Bosmina;4772,496148
semi_2;Bosmina;250
semi_3;Bosmina;400
semi_4;Bosmina;2650
semi_5;Bosmina;5637,288136
shel_1;Bosmina;400
shel_2;Bosmina;3511,258278
shel_3;Bosmina;4579,650238
shel_4;Bosmina;1882,653061
shel_5;Bosmina;3571,091909
pojo_1;Bosmina;1300
pojo_2;Bosmina;4672,240803
eke_1;Bosmina;0
eke_2;Bosmina;300
eke_3;Bosmina;150
extra_1;Bosmina;3596,458492
extra_2;Bosmina;100
extra_3;Bosmina;600
extra_4;Bosmina;300
exposed_1;Cercopagis_pengoi;0
exposed_2;Cercopagis_pengoi;0
exposed_3;Cercopagis_pengoi;0
exposed_4;Cercopagis_pengoi;0
exposed_5;Cercopagis_pengoi;0
exposed_6;Cercopagis_pengoi;0
semi_1;Cercopagis_pengoi;0
semi_2;Cercopagis_pengoi;0
semi_3;Cercopagis_pengoi;0
semi_4;Cercopagis_pengoi;0
semi_5;Cercopagis_pengoi;300
shel_1;Cercopagis_pengoi;0
shel_2;Cercopagis_pengoi;0
shel_3;Cercopagis_pengoi;0
shel_4;Cercopagis_pengoi;0
shel_5;Cercopagis_pengoi;0
pojo_1;Cercopagis_pengoi;0
pojo_2;Cercopagis_pengoi;0
eke_1;Cercopagis_pengoi;0
eke_2;Cercopagis_pengoi;0
eke_3;Cercopagis_pengoi;0
extra_1;Cercopagis_pengoi;0
extra_2;Cercopagis_pengoi;0
extra_3;Cercopagis_pengoi;0
extra_4;Cercopagis_pengoi;0
exposed_1;Ceriodaphnia_spp;0
exposed_2;Ceriodaphnia_spp;0
exposed_3;Ceriodaphnia_spp;0
exposed_4;Ceriodaphnia_spp;0
exposed_5;Ceriodaphnia_spp;0
exposed_6;Ceriodaphnia_spp;0
semi_1;Ceriodaphnia_spp;50
semi_2;Ceriodaphnia_spp;0
semi_3;Ceriodaphnia_spp;0
semi_4;Ceriodaphnia_spp;50
semi_5;Ceriodaphnia_spp;0
shel_1;Ceriodaphnia_spp;150
shel_2;Ceriodaphnia_spp;0
shel_3;Ceriodaphnia_spp;0
shel_4;Ceriodaphnia_spp;0
shel_5;Ceriodaphnia_spp;0
pojo_1;Ceriodaphnia_spp;0
pojo_2;Ceriodaphnia_spp;200
eke_1;Ceriodaphnia_spp;0
eke_2;Ceriodaphnia_spp;150
eke_3;Ceriodaphnia_spp;0
extra_1;Ceriodaphnia_spp;0
extra_2;Ceriodaphnia_spp;0
extra_3;Ceriodaphnia_spp;0
extra_4;Ceriodaphnia_spp;0
exposed_1;Daphnia_spp;0
exposed_2;Daphnia_spp;0
exposed_3;Daphnia_spp;0
exposed_4;Daphnia_spp;0
exposed_5;Daphnia_spp;0
exposed_6;Daphnia_spp;0
semi_1;Daphnia_spp;0
semi_2;Daphnia_spp;0
semi_3;Daphnia_spp;0
semi_4;Daphnia_spp;500
semi_5;Daphnia_spp;0
shel_1;Daphnia_spp;50
shel_2;Daphnia_spp;0
shel_3;Daphnia_spp;50
shel_4;Daphnia_spp;150
shel_5;Daphnia_spp;100
pojo_1;Daphnia_spp;200
pojo_2;Daphnia_spp;9800
eke_1;Daphnia_spp;0
eke_2;Daphnia_spp;0
eke_3;Daphnia_spp;50
extra_1;Daphnia_spp;50
extra_2;Daphnia_spp;0
extra_3;Daphnia_spp;50
extra_4;Daphnia_spp;0
exposed_1;Daphnia_cucullata;0
exposed_2;Daphnia_cucullata;0
exposed_3;Daphnia_cucullata;0
exposed_4;Daphnia_cucullata;0
exposed_5;Daphnia_cucullata;0
exposed_6;Daphnia_cucullata;0
semi_1;Daphnia_cucullata;0
semi_2;Daphnia_cucullata;0
semi_3;Daphnia_cucullata;0
semi_4;Daphnia_cucullata;0
semi_5;Daphnia_cucullata;0
shel_1;Daphnia_cucullata;0
shel_2;Daphnia_cucullata;0
shel_3;Daphnia_cucullata;0
shel_4;Daphnia_cucullata;0
shel_5;Daphnia_cucullata;0
pojo_1;Daphnia_cucullata;0
pojo_2;Daphnia_cucullata;3344,481605
eke_1;Daphnia_cucullata;0
eke_2;Daphnia_cucullata;0
eke_3;Daphnia_cucullata;0
extra_1;Daphnia_cucullata;0
extra_2;Daphnia_cucullata;0
extra_3;Daphnia_cucullata;0
extra_4;Daphnia_cucullata;0
exposed_1;Diplostraca;0
exposed_2;Diplostraca;0
exposed_3;Diplostraca;0
exposed_4;Diplostraca;0
exposed_5;Diplostraca;0
exposed_6;Diplostraca;0
semi_1;Diplostraca;0
semi_2;Diplostraca;0
semi_3;Diplostraca;0
semi_4;Diplostraca;100
semi_5;Diplostraca;50
shel_1;Diplostraca;0
shel_2;Diplostraca;50
shel_3;Diplostraca;0
shel_4;Diplostraca;0
shel_5;Diplostraca;0
pojo_1;Diplostraca;150
pojo_2;Diplostraca;200
eke_1;Diplostraca;0
eke_2;Diplostraca;0
eke_3;Diplostraca;0
extra_1;Diplostraca;100
extra_2;Diplostraca;0
extra_3;Diplostraca;0
extra_4;Diplostraca;0
exposed_1;Eurytemora;50
exposed_2;Eurytemora;100
exposed_3;Eurytemora;50
exposed_4;Eurytemora;300
exposed_5;Eurytemora;500
exposed_6;Eurytemora;0
semi_1;Eurytemora;650
semi_2;Eurytemora;50
semi_3;Eurytemora;300
semi_4;Eurytemora;50
semi_5;Eurytemora;0
shel_1;Eurytemora;1647,446458
shel_2;Eurytemora;3361,258278
shel_3;Eurytemora;350
shel_4;Eurytemora;50
shel_5;Eurytemora;0
pojo_1;Eurytemora;50
pojo_2;Eurytemora;800
eke_1;Eurytemora;0
eke_2;Eurytemora;200
eke_3;Eurytemora;300
extra_1;Eurytemora;1523,229246
extra_2;Eurytemora;0
extra_3;Eurytemora;0
extra_4;Eurytemora;0
exposed_1;Evadne_spp;50
exposed_2;Evadne_spp;0
exposed_3;Evadne_spp;100
exposed_4;Evadne_spp;0
exposed_5;Evadne_spp;100
exposed_6;Evadne_spp;0
semi_1;Evadne_spp;50
semi_2;Evadne_spp;100
semi_3;Evadne_spp;0
semi_4;Evadne_spp;0
semi_5;Evadne_spp;50
shel_1;Evadne_spp;0
shel_2;Evadne_spp;0
shel_3;Evadne_spp;0
shel_4;Evadne_spp;0
shel_5;Evadne_spp;0
pojo_1;Evadne_spp;0
pojo_2;Evadne_spp;0
eke_1;Evadne_spp;0
eke_2;Evadne_spp;0
eke_3;Evadne_spp;0
extra_1;Evadne_spp;0
extra_2;Evadne_spp;0
extra_3;Evadne_spp;0
extra_4;Evadne_spp;0
exposed_1;Gastropoda;0
exposed_2;Gastropoda;1640,689089
exposed_3;Gastropoda;100
exposed_4;Gastropoda;0
exposed_5;Gastropoda;0
exposed_6;Gastropoda;0
semi_1;Gastropoda;50
semi_2;Gastropoda;100
semi_3;Gastropoda;0
semi_4;Gastropoda;100
semi_5;Gastropoda;0
shel_1;Gastropoda;0
shel_2;Gastropoda;250
shel_3;Gastropoda;0
shel_4;Gastropoda;1732,653061
shel_5;Gastropoda;0
pojo_1;Gastropoda;0
pojo_2;Gastropoda;0
eke_1;Gastropoda;0
eke_2;Gastropoda;0
eke_3;Gastropoda;0
extra_1;Gastropoda;0
extra_2;Gastropoda;0
extra_3;Gastropoda;0
extra_4;Gastropoda;1655,629139
exposed_1;Harpacticoida;0
exposed_2;Harpacticoida;0
exposed_3;Harpacticoida;0
exposed_4;Harpacticoida;50
exposed_5;Harpacticoida;0
exposed_6;Harpacticoida;0
semi_1;Harpacticoida;0
semi_2;Harpacticoida;0
semi_3;Harpacticoida;0
semi_4;Harpacticoida;0
semi_5;Harpacticoida;0
shel_1;Harpacticoida;0
shel_2;Harpacticoida;0
shel_3;Harpacticoida;0
shel_4;Harpacticoida;0
shel_5;Harpacticoida;0
pojo_1;Harpacticoida;50
pojo_2;Harpacticoida;0
eke_1;Harpacticoida;0
eke_2;Harpacticoida;0
eke_3;Harpacticoida;0
extra_1;Harpacticoida;100
extra_2;Harpacticoida;0
extra_3;Harpacticoida;0
extra_4;Harpacticoida;0
exposed_1;Helicostomella_subulata;61607,81367
exposed_2;Helicostomella_subulata;77112,3872
exposed_3;Helicostomella_subulata;98978,79026
exposed_4;Helicostomella_subulata;206349,2063
exposed_5;Helicostomella_subulata;162771,9581
exposed_6;Helicostomella_subulata;32025,6205
semi_1;Helicostomella_subulata;516178,7365
semi_2;Helicostomella_subulata;45891,9319
semi_3;Helicostomella_subulata;609152,2881
semi_4;Helicostomella_subulata;9668,508287
semi_5;Helicostomella_subulata;5649,717514
shel_1;Helicostomella_subulata;4942,339374
shel_2;Helicostomella_subulata;6622,516556
shel_3;Helicostomella_subulata;36565,97774
shel_4;Helicostomella_subulata;9795,918367
shel_5;Helicostomella_subulata;75412,41163
pojo_1;Helicostomella_subulata;1673,640167
pojo_2;Helicostomella_subulata;0
eke_1;Helicostomella_subulata;1602,564103
eke_2;Helicostomella_subulata;1677,852349
eke_3;Helicostomella_subulata;3207,698476
extra_1;Helicostomella_subulata;0
extra_2;Helicostomella_subulata;12048,19277
extra_3;Helicostomella_subulata;15278,83881
extra_4;Helicostomella_subulata;33112,58278
exposed_1;Keratella;0
exposed_2;Keratella;4922,067268
exposed_3;Keratella;3142,183818
exposed_4;Keratella;0
exposed_5;Keratella;0
exposed_6;Keratella;0
semi_1;Keratella;1540,832049
semi_2;Keratella;0
semi_3;Keratella;1500,375094
semi_4;Keratella;0
semi_5;Keratella;0
shel_1;Keratella;0
shel_2;Keratella;0
shel_3;Keratella;1589,825119
shel_4;Keratella;6530,612245
shel_5;Keratella;1571,091909
pojo_1;Keratella;16736,40167
pojo_2;Keratella;8361,204013
eke_1;Keratella;4807,692308
eke_2;Keratella;16778,52349
eke_3;Keratella;8019,246191
extra_1;Keratella;10662,60472
extra_2;Keratella;12048,19277
extra_3;Keratella;3055,767762
extra_4;Keratella;14900,66225
exposed_1;Keratella_cochlearis;6010,518407
exposed_2;Keratella_cochlearis;44298,60541
exposed_3;Keratella_cochlearis;34564,022
exposed_4;Keratella_cochlearis;25396,8254
exposed_5;Keratella_cochlearis;0
exposed_6;Keratella_cochlearis;40032,02562
semi_1;Keratella_cochlearis;160246,5331
semi_2;Keratella_cochlearis;47372,3168
semi_3;Keratella_cochlearis;52513,12828
semi_4;Keratella_cochlearis;27624,30939
semi_5;Keratella_cochlearis;69209,03955
shel_1;Keratella_cochlearis;31301,4827
shel_2;Keratella_cochlearis;41390,72848
shel_3;Keratella_cochlearis;297297,2973
shel_4;Keratella_cochlearis;187755,102
shel_5;Keratella_cochlearis;216810,6834
pojo_1;Keratella_cochlearis;590794,9791
pojo_2;Keratella_cochlearis;200668,8963
eke_1;Keratella_cochlearis;73717,94872
eke_2;Keratella_cochlearis;469798,6577
eke_3;Keratella_cochlearis;51323,17562
extra_1;Keratella_cochlearis;475247,5248
extra_2;Keratella_cochlearis;438253,012
extra_3;Keratella_cochlearis;51948,05195
extra_4;Keratella_cochlearis;1407284,768
exposed_1;Keratella_cruciformis;0
exposed_2;Keratella_cruciformis;1640,689089
exposed_3;Keratella_cruciformis;1571,091909
exposed_4;Keratella_cruciformis;6349,206349
exposed_5;Keratella_cruciformis;1611,603546
exposed_6;Keratella_cruciformis;0
semi_1;Keratella_cruciformis;3081,664099
semi_2;Keratella_cruciformis;2960,7698
semi_3;Keratella_cruciformis;0
semi_4;Keratella_cruciformis;0
semi_5;Keratella_cruciformis;1412,429379
shel_1;Keratella_cruciformis;0
shel_2;Keratella_cruciformis;4966,887417
shel_3;Keratella_cruciformis;7949,125596
shel_4;Keratella_cruciformis;4897,959184
shel_5;Keratella_cruciformis;4713,275727
pojo_1;Keratella_cruciformis;1673,640167
pojo_2;Keratella_cruciformis;1672,240803
eke_1;Keratella_cruciformis;0
eke_2;Keratella_cruciformis;5033,557047
eke_3;Keratella_cruciformis;1603,849238
extra_1;Keratella_cruciformis;7616,14623
extra_2;Keratella_cruciformis;3012,048193
extra_3;Keratella_cruciformis;0
extra_4;Keratella_cruciformis;6622,516556
exposed_1;Keratella_quadrata;3005,259204
exposed_2;Keratella_quadrata;14766,2018
exposed_3;Keratella_quadrata;4713,275727
exposed_4;Keratella_quadrata;20634,92063
exposed_5;Keratella_quadrata;4834,810637
exposed_6;Keratella_quadrata;1601,281025
semi_1;Keratella_quadrata;13867,48844
semi_2;Keratella_quadrata;4441,1547
semi_3;Keratella_quadrata;6001,500375
semi_4;Keratella_quadrata;8287,292818
semi_5;Keratella_quadrata;0
shel_1;Keratella_quadrata;3294,892916
shel_2;Keratella_quadrata;4966,887417
shel_3;Keratella_quadrata;19077,90143
shel_4;Keratella_quadrata;22857,14286
shel_5;Keratella_quadrata;31421,83818
pojo_1;Keratella_quadrata;25104,60251
pojo_2;Keratella_quadrata;13377,92642
eke_1;Keratella_quadrata;11217,94872
eke_2;Keratella_quadrata;60402,68456
eke_3;Keratella_quadrata;12830,79391
extra_1;Keratella_quadrata;39603,9604
extra_2;Keratella_quadrata;94879,51807
extra_3;Keratella_quadrata;1527,883881
extra_4;Keratella_quadrata;11589,40397
exposed_1;Podon_spp;550
exposed_2;Podon_spp;5172,067268
exposed_3;Podon_spp;700
exposed_4;Podon_spp;3474,603175
exposed_5;Podon_spp;100
exposed_6;Podon_spp;0
semi_1;Podon_spp;650
semi_2;Podon_spp;900
semi_3;Podon_spp;850
semi_4;Podon_spp;400
semi_5;Podon_spp;300
shel_1;Podon_spp;0
shel_2;Podon_spp;0
shel_3;Podon_spp;150
shel_4;Podon_spp;50
shel_5;Podon_spp;300
pojo_1;Podon_spp;0
pojo_2;Podon_spp;0
eke_1;Podon_spp;0
eke_2;Podon_spp;150
eke_3;Podon_spp;0
extra_1;Podon_spp;0
extra_2;Podon_spp;0
extra_3;Podon_spp;0
extra_4;Podon_spp;0
exposed_1;Polychaeta;0
exposed_2;Polychaeta;50
exposed_3;Polychaeta;0
exposed_4;Polychaeta;0
exposed_5;Polychaeta;0
exposed_6;Polychaeta;0
semi_1;Polychaeta;0
semi_2;Polychaeta;0
