Microscopy;Imaging;Bulk;eDNA
Acartia_bifilosa;Acartia;Acartia;Acartia
Acartia;Asplanchna;Acartia_tonsa;Acartia_tonsa
Acartia_tonsa;Balanidae;Anomopoda;Anomopoda
Asplanchna;Bivalvia;Arthropoda;Arthropoda
Balanidae;Bosmina;Asplanchna;Asplanchna
Bivalvia;Calanoida;Bivalvia;Bivalvia
Bosmina;Cercopagis_pengoi;Branchiopoda;Brachionidae
Cercopagis_pengoi;Ceriodaphnia;Cerastoderma_glaucum;Branchiopoda
Ceriodaphnia;Copepoda_unident;Cordylophora_caspia;Cerastoderma_glaucum
Chydorus;Cyclopidae;Cyclopidae;Chaetogaster_diaphanus
Copepoda_unident;Daphnia;Diaphanosoma_brachyurum;Cordylophora_caspia
Cyclopidae;Daphnia_cucullata;Euchlanis_dilatata;Corymorpha
Daphnia_christata;Diplostraca;Eucyclops_macruroides;Cyclopidae
Daphnia_cucullata;Eurytemora;Eucyclops_macrurus;Daphnia
Daphnia;Evadne;Eurytemora_affinis;Diaphanosoma_brachyurum
Eurytemora;Gastropoda;Eurytemora_carolleeae;Ephydatia_muelleri
Evadne;Harpacticoida;Eurytemora_velox;Euchlanis_dilatata
Gastropoda;Helicostomella_subulata;Hediste_astae;Eucyclops_macruroides
Harpacticoida;Keratella;Hydra_oligactis;Eucyclops_macrurus
Helicostomella_subulata;Keratella_cochlearis;Keratella_cochlearis;Eurytemora_affinis
Keratella_cochlearis;Keratella_cruciformis;Keratella;Eurytemora_carolleeae
Keratella_cruciformis;Keratella_quadrata;Lecane_bulla;Eurytemora_velox
Keratella_quadrata;Podon;Macrocyclops_distinctus;Hediste_astae
Podon;Polychaeta;Megacyclops_viridis;Hydra_oligactis
Polychaeta;Rotifera;Mesocyclops_leuckarti;Hydra
Sididae;Sididae;Mytilopsis_leucophaeata;Keratella_cochlearis
Synchaeta;Synchaeta;Pleopis_polyphemoides;Keratella
Temora;Tintinnopsis;Ploesoma;Lecane_closterocerca
Tintinnopsis_brandti;;Polyarthra_dolichoptera;Lecane_cornuta
Tintinnopsis_fimbriata;;Polyarthra;Lepadellidae
Tintinnopsis_lobiancoi;;Sida_crystallina;Lumbricillus_lineatus
;;Synchaeta_cf._tremula/oblonga;Macrocyclops_distinctus
;;Synchaeta;Marenzelleria_viridis
;;Tachidius_discipes;Megacyclops_viridis
;;Temora_longicornis;Mesocyclops_leuckarti
;;Tenellia_adspersa;Mytilopsis_leucophaeata
;;Thermocyclops_oithonoides;Pleopis_polyphemoides
;;Thersitina_gasterostei;Ploesoma
;;Trichocerca_capucina;Polyarthra_dolichoptera
;;;Polyarthra
;;;Sida_crystallina
;;;Stylaria_lacustris
;;;Synchaeta_cf._tremula/oblonga
;;;Synchaeta
;;;Tachidius_discipes
;;;Tenellia_adspersa
;;;Thermocyclops_oithonoides
;;;Thersitina_gasterostei
;;;Trichocerca_capucina
