Site;Microscopy;abundance
exposed_1;Acartia_bifilosa;0
exposed_2;Acartia_bifilosa;0
exposed_3;Acartia_bifilosa;0
exposed_4;Acartia_bifilosa;0
exposed_5;Acartia_bifilosa;0
exposed_6;Acartia_bifilosa;0
semi_1;Acartia_bifilosa;0
semi_2;Acartia_bifilosa;0
semi_3;Acartia_bifilosa;0
semi_4;Acartia_bifilosa;1200
semi_5;Acartia_bifilosa;0
shel_1;Acartia_bifilosa;0
shel_2;Acartia_bifilosa;400
shel_3;Acartia_bifilosa;0
shel_4;Acartia_bifilosa;0
shel_5;Acartia_bifilosa;0
pojo_1;Acartia_bifilosa;0
pojo_2;Acartia_bifilosa;0
eke_1;Acartia_bifilosa;0
eke_2;Acartia_bifilosa;0
eke_3;Acartia_bifilosa;0
extra_1;Acartia_bifilosa;0
extra_2;Acartia_bifilosa;0
extra_3;Acartia_bifilosa;143,75
extra_4;Acartia_bifilosa;0
exposed_1;Acartia_sp;17600
exposed_2;Acartia_sp;41550
exposed_3;Acartia_sp;58999,8525
exposed_4;Acartia_sp;92500
exposed_5;Acartia_sp;69150
exposed_6;Acartia_sp;16800
semi_1;Acartia_sp;25750
semi_2;Acartia_sp;22550
semi_3;Acartia_sp;43450
semi_4;Acartia_sp;41300
semi_5;Acartia_sp;53350
shel_1;Acartia_sp;46150
shel_2;Acartia_sp;121950
shel_3;Acartia_sp;88464,455
shel_4;Acartia_sp;32900
shel_5;Acartia_sp;206850
pojo_1;Acartia_sp;13100
pojo_2;Acartia_sp;0
eke_1;Acartia_sp;2250
eke_2;Acartia_sp;134411,6975
eke_3;Acartia_sp;16933,34
extra_1;Acartia_sp;135900
extra_2;Acartia_sp;1250
extra_3;Acartia_sp;18112,5
extra_4;Acartia_sp;42550
exposed_1;Acartia_tonsa;100
exposed_2;Acartia_tonsa;0
exposed_3;Acartia_tonsa;66,6665
exposed_4;Acartia_tonsa;0
exposed_5;Acartia_tonsa;0
exposed_6;Acartia_tonsa;0
semi_1;Acartia_tonsa;600
semi_2;Acartia_tonsa;100
semi_3;Acartia_tonsa;150
semi_4;Acartia_tonsa;2200
semi_5;Acartia_tonsa;600
shel_1;Acartia_tonsa;0
shel_2;Acartia_tonsa;200
shel_3;Acartia_tonsa;666,65
shel_4;Acartia_tonsa;250
shel_5;Acartia_tonsa;200
pojo_1;Acartia_tonsa;0
pojo_2;Acartia_tonsa;0
eke_1;Acartia_tonsa;50
eke_2;Acartia_tonsa;764,7055
eke_3;Acartia_tonsa;200
extra_1;Acartia_tonsa;2400
extra_2;Acartia_tonsa;0
extra_3;Acartia_tonsa;431,25
extra_4;Acartia_tonsa;300
exposed_1;Copepoda_unident;0
exposed_2;Copepoda_unident;0
exposed_3;Copepoda_unident;66,6665
exposed_4;Copepoda_unident;0
exposed_5;Copepoda_unident;100
exposed_6;Copepoda_unident;0
semi_1;Copepoda_unident;0
semi_2;Copepoda_unident;0
semi_3;Copepoda_unident;50
semi_4;Copepoda_unident;0
semi_5;Copepoda_unident;450
shel_1;Copepoda_unident;0
shel_2;Copepoda_unident;0
shel_3;Copepoda_unident;66,665
shel_4;Copepoda_unident;0
shel_5;Copepoda_unident;0
pojo_1;Copepoda_unident;0
pojo_2;Copepoda_unident;100
eke_1;Copepoda_unident;50
eke_2;Copepoda_unident;176,4705
eke_3;Copepoda_unident;0
extra_1;Copepoda_unident;100
extra_2;Copepoda_unident;0
extra_3;Copepoda_unident;287,5
extra_4;Copepoda_unident;50
exposed_1;Cyclopoida;0
exposed_2;Cyclopoida;50
exposed_3;Cyclopoida;333,3325
exposed_4;Cyclopoida;150
exposed_5;Cyclopoida;300
exposed_6;Cyclopoida;0
semi_1;Cyclopoida;50
semi_2;Cyclopoida;50
semi_3;Cyclopoida;0
semi_4;Cyclopoida;0
semi_5;Cyclopoida;100
shel_1;Cyclopoida;3250
shel_2;Cyclopoida;6100
shel_3;Cyclopoida;133,33
shel_4;Cyclopoida;50
shel_5;Cyclopoida;100
pojo_1;Cyclopoida;155400
pojo_2;Cyclopoida;148600
eke_1;Cyclopoida;49350
eke_2;Cyclopoida;1411,764
eke_3;Cyclopoida;22933,3
extra_1;Cyclopoida;4900
extra_2;Cyclopoida;0
extra_3;Cyclopoida;0
extra_4;Cyclopoida;0
exposed_1;Asplanchna_spp;0
exposed_2;Asplanchna_spp;0
