asv_id	sample	nreads
bb35c3f378e0b676e40a473e70216f9c	EDNA46	441837
bb35c3f378e0b676e40a473e70216f9c	EDNA1	89134
bb35c3f378e0b676e40a473e70216f9c	EDNA60	157313
bb35c3f378e0b676e40a473e70216f9c	EDNA47	423347
bb35c3f378e0b676e40a473e70216f9c	EDNA2	29707
bb35c3f378e0b676e40a473e70216f9c	EDNA61	60469
bb35c3f378e0b676e40a473e70216f9c	EDNA48	557983
bb35c3f378e0b676e40a473e70216f9c	EDNA3	78169
bb35c3f378e0b676e40a473e70216f9c	EDNA62	38584
bb35c3f378e0b676e40a473e70216f9c	EDNA4	8
bb35c3f378e0b676e40a473e70216f9c	EDNA49	37
bb35c3f378e0b676e40a473e70216f9c	EDNA63	36970
bb35c3f378e0b676e40a473e70216f9c	EDNA5	26
bb35c3f378e0b676e40a473e70216f9c	EDNA6	224
bb35c3f378e0b676e40a473e70216f9c	EDNA64	3
bb35c3f378e0b676e40a473e70216f9c	EDNA7	204109
bb35c3f378e0b676e40a473e70216f9c	EDNA65	5
bb35c3f378e0b676e40a473e70216f9c	EDNA8	297138
bb35c3f378e0b676e40a473e70216f9c	EDNA66	2
bb35c3f378e0b676e40a473e70216f9c	EDNA9	206249
bb35c3f378e0b676e40a473e70216f9c	EDNA80	212745
bb35c3f378e0b676e40a473e70216f9c	EDNA67	9
bb35c3f378e0b676e40a473e70216f9c	EDNA81	260431
bb35c3f378e0b676e40a473e70216f9c	EDNA68	10
bb35c3f378e0b676e40a473e70216f9c	EDNA82	61066
bb35c3f378e0b676e40a473e70216f9c	EDNA69	3
bb35c3f378e0b676e40a473e70216f9c	EDNA83	36234
bb35c3f378e0b676e40a473e70216f9c	EDNA84	60890
bb35c3f378e0b676e40a473e70216f9c	EDNA85	380570
bb35c3f378e0b676e40a473e70216f9c	EDNA86	514103
bb35c3f378e0b676e40a473e70216f9c	EDNA87	422801
bb35c3f378e0b676e40a473e70216f9c	EDNA88	349
bb35c3f378e0b676e40a473e70216f9c	MB10	385841
bb35c3f378e0b676e40a473e70216f9c	EDNA89	112
bb35c3f378e0b676e40a473e70216f9c	MB11	596491
bb35c3f378e0b676e40a473e70216f9c	MB12	454273
bb35c3f378e0b676e40a473e70216f9c	MB13	612314
bb35c3f378e0b676e40a473e70216f9c	MB14	382911
bb35c3f378e0b676e40a473e70216f9c	MB15	646608
bb35c3f378e0b676e40a473e70216f9c	MB1	327011
bb35c3f378e0b676e40a473e70216f9c	MB16	681533
bb35c3f378e0b676e40a473e70216f9c	MB2	380366
bb35c3f378e0b676e40a473e70216f9c	MB17	91
bb35c3f378e0b676e40a473e70216f9c	MB3	243751
bb35c3f378e0b676e40a473e70216f9c	MB18	2254
bb35c3f378e0b676e40a473e70216f9c	MB4	585976
bb35c3f378e0b676e40a473e70216f9c	MB19	586481
bb35c3f378e0b676e40a473e70216f9c	MB5	243831
bb35c3f378e0b676e40a473e70216f9c	MB6	502170
bb35c3f378e0b676e40a473e70216f9c	MB7	394752
bb35c3f378e0b676e40a473e70216f9c	MB8	436980
bb35c3f378e0b676e40a473e70216f9c	EDNA100	15
bb35c3f378e0b676e40a473e70216f9c	MB9	582055
bb35c3f378e0b676e40a473e70216f9c	EDNA101	37
bb35c3f378e0b676e40a473e70216f9c	EDNA102	24
bb35c3f378e0b676e40a473e70216f9c	CTRL1	62
bb35c3f378e0b676e40a473e70216f9c	CTRL2	132
bb35c3f378e0b676e40a473e70216f9c	EDNA10	163660
bb35c3f378e0b676e40a473e70216f9c	CTRL3	5
bb35c3f378e0b676e40a473e70216f9c	EDNA11	198457
bb35c3f378e0b676e40a473e70216f9c	EDNA12	320544
bb35c3f378e0b676e40a473e70216f9c	EDNA13	236828
bb35c3f378e0b676e40a473e70216f9c	EDNA14	159386
bb35c3f378e0b676e40a473e70216f9c	EDNA15	209994
bb35c3f378e0b676e40a473e70216f9c	EDNA16	141265
bb35c3f378e0b676e40a473e70216f9c	EDNA17	77501
bb35c3f378e0b676e40a473e70216f9c	EDNA30	36
bb35c3f378e0b676e40a473e70216f9c	EDNA18	184015
bb35c3f378e0b676e40a473e70216f9c	EDNA31	363297
bb35c3f378e0b676e40a473e70216f9c	EDNA19	23
bb35c3f378e0b676e40a473e70216f9c	EDNA32	62788
bb35c3f378e0b676e40a473e70216f9c	EDNA33	250980
bb35c3f378e0b676e40a473e70216f9c	EDNA34	185524
bb35c3f378e0b676e40a473e70216f9c	EDNA35	233026
bb35c3f378e0b676e40a473e70216f9c	EDNA36	165159
bb35c3f378e0b676e40a473e70216f9c	EDNA50	29
bb35c3f378e0b676e40a473e70216f9c	EDNA37	73
bb35c3f378e0b676e40a473e70216f9c	EDNA51	45
bb35c3f378e0b676e40a473e70216f9c	EDNA38	35
bb35c3f378e0b676e40a473e70216f9c	EDNA52	215511
bb35c3f378e0b676e40a473e70216f9c	EDNA39	55
bb35c3f378e0b676e40a473e70216f9c	EDNA53	147525
bb35c3f378e0b676e40a473e70216f9c	EDNA54	104070
bb35c3f378e0b676e40a473e70216f9c	EDNA55	86329
bb35c3f378e0b676e40a473e70216f9c	EDNA56	66896
bb35c3f378e0b676e40a473e70216f9c	EDNA70	99
bb35c3f378e0b676e40a473e70216f9c	EDNA57	105718
bb35c3f378e0b676e40a473e70216f9c	EDNA71	9784
bb35c3f378e0b676e40a473e70216f9c	EDNA58	265857
bb35c3f378e0b676e40a473e70216f9c	EDNA72	17
bb35c3f378e0b676e40a473e70216f9c	EDNA59	114716
bb35c3f378e0b676e40a473e70216f9c	EDNA73	6514
bb35c3f378e0b676e40a473e70216f9c	EDNA74	106035
bb35c3f378e0b676e40a473e70216f9c	EDNA75	6195
bb35c3f378e0b676e40a473e70216f9c	EDNA76	5
bb35c3f378e0b676e40a473e70216f9c	EDNA90	928
bb35c3f378e0b676e40a473e70216f9c	EDNA77	17
bb35c3f378e0b676e40a473e70216f9c	EDNA91	289042
bb35c3f378e0b676e40a473e70216f9c	EDNA78	9
bb35c3f378e0b676e40a473e70216f9c	EDNA92	204077
bb35c3f378e0b676e40a473e70216f9c	EDNA79	112690
bb35c3f378e0b676e40a473e70216f9c	EDNA93	180677
bb35c3f378e0b676e40a473e70216f9c	EDNA94	253738
bb35c3f378e0b676e40a473e70216f9c	EDNA95	215021
bb35c3f378e0b676e40a473e70216f9c	EDNA96	141671
bb35c3f378e0b676e40a473e70216f9c	EDNA97	74738
bb35c3f378e0b676e40a473e70216f9c	EDNA98	103595
bb35c3f378e0b676e40a473e70216f9c	MB20	540084
bb35c3f378e0b676e40a473e70216f9c	EDNA99	188522
bb35c3f378e0b676e40a473e70216f9c	MB21	505793
bb35c3f378e0b676e40a473e70216f9c	MB22	355681
bb35c3f378e0b676e40a473e70216f9c	MB23	477119
bb35c3f378e0b676e40a473e70216f9c	MB24	418662
bb35c3f378e0b676e40a473e70216f9c	MB25	451072
bb35c3f378e0b676e40a473e70216f9c	EDNA20	19
bb35c3f378e0b676e40a473e70216f9c	EDNA21	53
bb35c3f378e0b676e40a473e70216f9c	EDNA22	284339
bb35c3f378e0b676e40a473e70216f9c	EDNA23	72592
bb35c3f378e0b676e40a473e70216f9c	EDNA24	178536
bb35c3f378e0b676e40a473e70216f9c	EDNA25	199834
bb35c3f378e0b676e40a473e70216f9c	EDNA26	171506
bb35c3f378e0b676e40a473e70216f9c	EDNA40	94625
bb35c3f378e0b676e40a473e70216f9c	EDNA27	334456
bb35c3f378e0b676e40a473e70216f9c	EDNA41	228666
bb35c3f378e0b676e40a473e70216f9c	EDNA28	19
bb35c3f378e0b676e40a473e70216f9c	EDNA42	216890
bb35c3f378e0b676e40a473e70216f9c	EDNA29	7544
bb35c3f378e0b676e40a473e70216f9c	EDNA43	179486
bb35c3f378e0b676e40a473e70216f9c	EDNA44	204657
bb35c3f378e0b676e40a473e70216f9c	EDNA45	327173
0f2ddd2f167b65803b7712e07eb7517a	EDNA46	31577
0f2ddd2f167b65803b7712e07eb7517a	EDNA1	286935
0f2ddd2f167b65803b7712e07eb7517a	EDNA60	39616
0f2ddd2f167b65803b7712e07eb7517a	EDNA47	76957
0f2ddd2f167b65803b7712e07eb7517a	EDNA2	100089
0f2ddd2f167b65803b7712e07eb7517a	EDNA61	71704
0f2ddd2f167b65803b7712e07eb7517a	EDNA48	26998
0f2ddd2f167b65803b7712e07eb7517a	EDNA3	302081
0f2ddd2f167b65803b7712e07eb7517a	EDNA62	53369
0f2ddd2f167b65803b7712e07eb7517a	EDNA49	4
0f2ddd2f167b65803b7712e07eb7517a	EDNA63	70494
0f2ddd2f167b65803b7712e07eb7517a	EDNA7	370068
0f2ddd2f167b65803b7712e07eb7517a	EDNA65	3
0f2ddd2f167b65803b7712e07eb7517a	EDNA8	213238
0f2ddd2f167b65803b7712e07eb7517a	EDNA66	3
0f2ddd2f167b65803b7712e07eb7517a	EDNA9	182348
0f2ddd2f167b65803b7712e07eb7517a	EDNA80	200
0f2ddd2f167b65803b7712e07eb7517a	EDNA67	6
0f2ddd2f167b65803b7712e07eb7517a	EDNA81	351
0f2ddd2f167b65803b7712e07eb7517a	EDNA68	51
0f2ddd2f167b65803b7712e07eb7517a	EDNA82	134
0f2ddd2f167b65803b7712e07eb7517a	EDNA69	3
0f2ddd2f167b65803b7712e07eb7517a	EDNA83	93
0f2ddd2f167b65803b7712e07eb7517a	EDNA84	40
0f2ddd2f167b65803b7712e07eb7517a	EDNA85	1523
0f2ddd2f167b65803b7712e07eb7517a	EDNA86	1069
0f2ddd2f167b65803b7712e07eb7517a	EDNA87	704
0f2ddd2f167b65803b7712e07eb7517a	EDNA88	14
0f2ddd2f167b65803b7712e07eb7517a	MB10	3
0f2ddd2f167b65803b7712e07eb7517a	EDNA89	7
0f2ddd2f167b65803b7712e07eb7517a	MB11	300
0f2ddd2f167b65803b7712e07eb7517a	MB12	6
0f2ddd2f167b65803b7712e07eb7517a	MB13	117
0f2ddd2f167b65803b7712e07eb7517a	MB14	5
0f2ddd2f167b65803b7712e07eb7517a	MB15	40
0f2ddd2f167b65803b7712e07eb7517a	MB1	402
0f2ddd2f167b65803b7712e07eb7517a	MB16	24
0f2ddd2f167b65803b7712e07eb7517a	MB2	7257
0f2ddd2f167b65803b7712e07eb7517a	MB4	667
0f2ddd2f167b65803b7712e07eb7517a	MB5	743
0f2ddd2f167b65803b7712e07eb7517a	MB6	766
0f2ddd2f167b65803b7712e07eb7517a	MB7	81
